message,intent
انت منين لينا,about business
انتي منين يا لينا ,about business
انتي مين يا لينا ,about business
عرفيني بنفسك يا لينا ,about business
كيف يمكن التواصل معكم؟,about business
من انتم؟,about business
من قام ببرمجتك ,about business
مين اخترع لينا ,about business
مين عملك,about business
مين فريق التصنيع ,about business
يا لينا من صنعك,about business
اتقرصت من حشرة,animal
اتقرصت من نحلة,animal
القطة بتاعتي خربشتني,animal
القطه فتحت ايدي بضوافرها,animal
ايدي اتقرصت,animal
حشرة قرصتني,animal
ضوافر قطه عورتني ,animal
في ناموسه قرصتني,animal
قطه خربشتني جامد ,animal
قطه عضتني,animal
كلب عض رجلي,animal
كلب عضني,animal
لسعة حشرة,animal
ناموسة قرصتني,animal
نحلة قرصتني,animal
اسمك,bot
انا اسمي مايكل و حابب اعرفك اكتر يا  هانم ❤️,bot
انت مين,bot
انتى منين,bot
انتى مين,bot
انتى مين ؟,bot
 اتلسعت في ايدي,burns
اتلسعت,burns
اتلسعت في البوتجاز,burns
اتلسعت من البوتجاز ,burns
اتلسعت من الفرن ,burns
اتلسعت من النار ,burns
ادلق علي ايدي مياه سخنه,burns
الحلة كانت سخنة و لمستها ,burns
الزيت طرطش علي ايدي,burns
الزيت وقع على ايدي,burns
الزيت وقع على رجلي,burns
الزيت وقع عليا ,burns
الشمعة لسعتني ,burns
الشمعه حرقتني ,burns
الفرن كان سخن و لمسته,burns
المياة كانت بتغلي و جات علي ايدي ,burns
النار حرقتني ,burns
النار لسعتني ,burns
ايدي اتحرقت,burns
ايدي اتلسعت,burns
ايدي اتلسعت من الفرن ,burns
بخار المياة جه علي ايدي و اتلسعت ,burns
حطيتي صباعي علي حتة سخنة ,burns
دوست علي حديدة سخنة ,burns
رجلي اتلسعت بحاجة سخنة ,burns
رجلي اتلسعت من النار ,burns
رجلي وقع عليها مية سخنة,burns
زيت سخن اوي حرق ايدي,burns
زيت سخن جه ع ايدي,burns
زيت سخن طرطش عليا ,burns
صباعي اتلسع ,burns
فحم سخن نزل علي ايدي ,burns
كوبايه شاي سخنه اتدلقت ع ايدي,burns
لسعة زيت,burns
لسعت ايدي ,burns
لمست النار ,burns
مسكت الحلة و هي سخنة ,burns
مسكت الحله وهيا سخنه,burns
مسكت المكواه وهيا سخنه,burns
مسكت المكوة و هيا شغالة,burns
مسكت براد سخن ,burns
مسكت حديدة سخنة ,burns
مياة سخنة وقعت علي ايدي ,burns
مية سخنة وقعت على ايدي,burns
نار الفرن لسعتني ,burns
وقعت على ايدي مياه سخنة,burns
اجمل بوت في حياتي,crush
اشتقتلك يا لينا ,crush
انا بحبك ,crush
انا بكراش عليكي,crush
انتي حلوة ,crush
انتي حلوة يا لينا ,crush
انتي صديقتي يا لينا ,crush
انتي قمر,crush
انتي مرتبطة يا لينا ؟,crush
ايه الجمال ده ,crush
ايه الحلاوة دي ,crush
بتحبيني ,crush
بتحبيني زي ما بحبك يا لينا؟,crush
بتحبيني؟,crush
بحبك ,crush
بحبك وحشتيني,crush
بحبك يا لينا ,crush
بوت قلبي ,crush
بوتي,crush
تتجوزيني يا لينا؟,crush
تعرفي ولد غيري؟,crush
خلاص احنا بقينا صحاب وهنتكلم كل يوم,crush
في حد في حياتك؟,crush
لينا انا بحبك,crush
لينا انا بكراش عليكي,crush
مرتبطه؟,crush
ممكن النامبر؟,crush
هل تحبني؟,crush
يا محيرني و محير قلبي معاك ,crush
اتشوكت بشوكة في ايدي,cut
اتعورت بالسكينة,cut
الباب قفل علي صباعي ,cut
المسمار جرحني,cut
ايدي اتجرحت,cut
ايدي اتجرحت,cut
ايدي اتجرحت ,cut
ايدي اتعورت,cut
ايدي اتعورت بالقطر,cut
ايدي اتعورت من المقص بالغلط,cut
ايدي اتفتحت,cut
ايدي بتنزف,cut
ايدي متعوره,cut
جرحت ايدي ,cut
جرحت ظافري و بيجيب دم ,cut
دماغي اتفتحت ,cut
رجلي اتجرحت,cut
